, Das haett es frueher nicht gegeben #18
, Das haett es frueher nicht gegeben #19
Aérotique, Regen auf Asphalt
Aérotique, Schöne Neue Welt
Aérotique, Stadtkind
Aérotique, Über den Wolken
AKA_AKA Thalstroem, Relajate
Ambition², Evolution
Ambition², Surreal
Ambition², Times have changed
Ambition²,  Ensonge Augurium
Andhim, 55555
Andhim, Bermudachords
Andhim, Wallace
Aparde, Amnesie
Aparde, Eintausend Krieger
Aparde, Freiraum
Aparde, Komplex 
Aparde Mix BabelNewYork_3
Aparde, Molekular
Aparde, Other People
Aparde, Scherbensucher 
Aparde, Weltfremd
Aparde, Wind In Den Duenen 
Bacalao, Sonne My Heart
Bakermat, Vandaag 
???Basic House Ice Pop (Little Helper Edit)
???Ben_E Gem Club Twins
Ben_E, Paranoid 
???Ben Moby Why Does My Heart Feel So Bad
Bon_Iver David_Keller, I can't make you love me
Bonobo, Cirrus
Burial Four_Tet, Moth
???Canoo Whiskey Alpha Five (Good Luck)
Carl_Craig Christian_Smith, At Les
Chet_Faker, The Temper Trap Trembling Hands
???Christian_Löffler, Colo Holidays
Christian_Löffler, Groove Podcast 75
Christian_Löffler, Veiled Grey 
Christian_Loffler, IA MIX 221
Christian_Löffler Gry Mind_Against, All Comes
Cillo, Breathe
DARKSIDE, Boiler Room NYC
Daughter LCAW, Run
David_K Thomas_Lizzara, Meet You
De_Hofnar Macklemore  Ed_Sheeran, Same Love
De_Hofnar Matt_Nathanson, Love Comes Tumbling Down
De_Hofnar, Vogelvlucht
Disclosure Sam_Smith, Latch 
Electrohertz, Believe
Electrohertz, Dascha
Electrohertz Daughter, Medicine
Electrohertz Daughter, Tomorrow
Electrohertz Julia_Stone, Dear Spring  
Electrohertz, Hammock
electrohertz Stendeck, Happy Little Children Play
???Electrohertz, Imogen Heap - Hide & Seek
Electrohertz, Nautica
electrohertz Daughter, Our Children
electrohertz, saw you there thinking about my faults
Electrohertz Keaton_Henson, She need it
Electrohertz Daughter, Snowflakes
Enzo_Bennet, COLOURS
FAUL Wad_Ad, Changes
???FELIX EUL AUCH
Finkk, Hoffnung
Fink Tale_Of_Us, Make It Good
FlicFlac Edward_Sharpe, The Magnetic Zeros Home
FlicFlac Milky_Chance, Down By The River
Four_Tet, Plastic People
Fritz_Kalkbrenner, Amy was a player
Fritz_Kalkbrenner, Blackmail
Fritz_Kalkbrenner, Brumaire
Fritz_Kalkbrenner, Can't Stand the Fire 
Fritz_Kalkbrenner, Collage
Fritz_Kalkbrenner, Dead End
Fritz_Kalkbrenner, Facing The Sun
Fritz_Kalkbrenner, Grove
Fritz_Kalkbrenner, Kings in Exile
Fritz_Kalkbrenner, Last Call 
Fritz_Kalkbrenner, Layer Cake 
Fritz_Kalkbrenner, Little by little
Fritz_Kalkbrenner, Monte Rosa
