artista|titolo|parere|conoscevo|mi fa piangere
shostakovic|piano concerto no. 2 mov. ii|quasi sublime, dovrei ascoltarlo|no|potrebbe
dvořák|serenade for strings in e major|molto bello|no|potrebbe
saint saëns|il cigno|bello|si|no
tchaikovsky|symphony no. 5 mov. ii|wow figata|no|si
dukas|l'apprenti sorcier|piacevole|si|no
mozart|sinfonia concertante|piacevole|no|non credo
stravinsky|l'oiseau de feu v|simpatico ma non mi affascina|no|no
stravinsky|l'oiseau de feu vi|affascinante|no|no
stravinsky|l'oiseau de feu vii|affascinante|no|no
brahms|symphony no. 2|bello, dovrei riascoltarlo|no|no
mozart|serenade no. 10 mov. iii|interessante, dovrei riascoltarlo|no|no
gouvy|petite suite gauloise mov. iii|simpatico|no|no
gouvy|petite suite gauloise mov. iv|simpatico|no|no
strauss|die fledermaus overture|figata|si|no
bernstein|mass vi|mmm no (faccina imbarazzata)|no|no
bernstein|mass xv|mmm no (faccina imbarazzata)|no|no
bernstein|mass iii|mmm no (faccina imbarazzata)|no|no
tchaikovsky|piano concerto no. 1 mov. i|sublime|si|ovviamente
schubert|symphony 8 mov. i|molto bello|si|potrebbe
schubert|symphony 8 mov. ii|molto bello|si|non credo
beethoven|symphony 7 mov. i|molto bello|si|no
carlaw|adieu to the piano|piacevole ma ancora non mi affascina|no|no
mendelssohn|symphony 4 mov. i|molto bello|si|no
mendelssohn|symphony 4 mov. iv|bello|no|no
mozart|bassoon concerto mov. ii|piacevole (ma quanto casino fanno le dita di un fagottista?!?!)|no|no
beethoven|piano concerto no. 3 mov. iii|figata|si|no
beethoven|piano concerto no. 5 mov. iii|non c'e' bisogno di commenti|si|no
mozart|die zauberflöte|bello|no|no
mozart|le nozze di figaro overture|abbastanza una figata|si|no
tchaikovsky|romeo e giulietta|bello, a tratti una figata|no|no
wagner|tannhäuser overture|bello, dovrei riascoltarlo|no|no
beethoven|egmont overture|sembra figo, dovrei riascoltarlo|no|no
tchaikovsky|1812 overture|eh be'|si|no
tchaikovsky|symphony 4 mov. i|bello, dovrei riascoltarlo|no|no
dvořák|symphony 9 mov. i|bello|si|no
dvořák|symphony 9 mov. ii|bello|si|potrebbe
dvořák|symphony 9 mov. iii|figata|si|no
dvořák|symphony 9 mov. iv|figata|si|no
schubert|symphony 1 mov. i|bello ma devo riascoltarlo|no|no
schubert|symphony 1 mov. iv|bello ma devo riascoltarlo|no|no
brahms|variations on a theme by haydn|bo piacevole (59 secondi un po' breve)|no|no
shostakovic|piano concerto no. 2 mov. i|simpatico, dovrei riascoltarlo|no|no
