2000_and_One, Kawasaki
Len_Faki Adam_Beyer Alan_Fitzpatrick, Human Reason
Amelie_Lens, Contradiction
Amelie_Lens, Drift
Amelie_Lens Farrago, Purge
Amelie_Lens, Paralyzed
AnD Perc, Fierce
Angy_Kore Gabriel_Padrevita, Do You Know
Ansome, Mans Head 
Anthro, Cred
AuxiliaryCompressorPlant, Disruption Of The Abysm I
Barnt, Chappell
Johannes_Heil, The Chains Of Babylon
Bastinov, Solar System
Black_Roof, Pragmatic
CJ_Bolland, The Prophet 
Charles_Fenckler, Frozen Room
Charlotte_de_Witte, Voices Of The Ancient
Charlotte_de_Witte Hans Bouffmyhre, When The Going Gets Rough
Charlton, Unforgiven
Cleric, 2nd Limit
Cleric, The Key Of Night
Clouds, Chained to a Dead Camel
Clouds Perc, Chained To A Dead Camel
DCarbone, Discernment
Demand Drumcomplex, Echoes
Earthscape, Dysnomia
Electric_Rescue, Forwer
Narciss, Einsamkeit
Emmanuel, Raven
Envoy, Dark Manoeuvres
Flug, Insects
Future_9394. Psykkowarpz
Gert_P, Ik Wil
Giacomo_Renzi, Exit
H880, KEPLER
I_Hate_Models, Daydream 
I_HATE_MODELS, Dissociative Disorders
I_Hate_Models, Warehouse Memories 
Johannes_Heil, A2 [EXILE008]
Juxta_Position, Alley Groove
Juxta_Position, Mist
Juxta_Position, One Ten
Keepsakes, Galso In Camo
Kobosil, Avernian
Kobosil, Per
Lag Truss, DHC3
Lewis_Fautzi, Synthoponic
Luca_Agnelli, Long Delay
Luca_Agnelli, Phoenix
Luca_Agnelli, Turbo
Makornik, Caw Caw
Mayeul, Dysfunctional System
Mellow_Trax, Phuture Vibes
Metope, Superimbat
Monoloc RØDHÅD, Things
Moth,   Igineci
Paula_Temple, Gegen
Perc, Look What Your Love Has Done To Me
Pfirter, The Dub Track
Phara, FTTF
???P_Leone, '9V9'
Regal, Rem
Remco_Beekwilder, LSD
Roman_Lindau, Rave On
Sam_Paganini Zøe, The Beat
Schwefelgelb, Es zieht mich
Slam, Vapour
Sopik, FLASH
Subjected, 0057
Tiga Dense_Pika, Planet E
Toms_Due, Calliope
Toms_Due, Stratum
Toms_Due Luca_Agnelli, The Bridge
Toms_Due, Urania
Truncate, Untitled B1
Under_Black_Helmet, Impulsive Behavior
Under_Black_Helmet, Jagged
VNP Luca_Agnelli, Wake Me Up
Works_Unit, Insulation One
YYYY, Relic
Public_Energy, Three O' Three
Drop-E, Negligencia Hemisférica
Slam, Blue Dragon
Markus Suckut, Your Head
SALVATORE_GENOVESE, Hidden Soul
Altinbas, Intonation
Christian_Wünsch, Fluid Mechanics
999999999, 300000003
Slam, Constructivism
Mattia_Trani, Rage Condition
Eonan Oliver_Deutschmann, Substanz I
Envoy Dax_J, Dark Manoeuvres
Treuhand, Shiva
I_Hate_Models, Cyanure Dance
Yotam_Avni, If You Still Want Me
TRYM, Idyllic
Trym, London Rave
Trym, Zone industrielle de Courbevoie 
Tim Tama, Sometimes I Reminisce
Trym, The summer of rave 1989
Trym, BDSM
Eomac, Spoock
Minimum_Syndicat, MASS EVACUATION
I_Hate_Models, Requiem of Desolation
Gijensu, Hyperlight
Scorp, New Energy
Giacomo Renzi, Exit
Blawan, 993
Dentis, 90's Bohemian Rave
Marco_Bailey, Nyctophilia
VRIL, Thronwagen
Vril, Vortekz
Vril, Portal 7
Pfirter, Fractales
Jeroen_Search, The Future Is Ours
DVS1, Electric
Weyner, The Voice Of Rave
Nico_Moreno, Insolent Rave
Nico_Moreno, Beyond The Limits
Niki_Istrefi, Chambers
Niki_Istrefi, red armor
Process_404, Latest Rave In The Bunker
Juxta_Position, The Darkness
Marco_Faraone, Boost
Steve_Rachmad, Disturbance
Marco_Faraone, Over The Clouds
Nathan_Fake, Fortune Bru
CONTREFAÇON, Casting
Yves_Deruyter, Back To Earth
claire, IV (Fight Against The Darkness)
claire, III (Across The Sky)
claire, II (Something Is Watching Us)
claire, I (I Want To Believe)
Brulée Claire, Conflit
Rob_Threezy, Chicago on Acid
Trym, GTA Life
Klamer, Gott segne die Säure
Negative_Return, First Light
