artists,title,genre,src,bpm,tags,rating,spotify_id,youtube_id
30_seconds_to_mars,a beautiful lie,alternative_rock pop,sp,,voice,2.0,,
30_seconds_to_mars,closer to the edge,alternative_rock pop,sp,,voice,2.0,,
30_seconds_to_mars,from yesterday,alternative_rock pop,sp,,voice,2.0,,
30_seconds_to_mars,kings and queens,alternative_rock pop,sp,,voice,2.0,,
30_seconds_to_mars,this is war,alternative_rock pop,sp,,voice,2.0,,
coldplay,always in my head,alternative_rock pop,sp,,voice,2.0,,
coldplay,another's arms,alternative_rock pop,sp,,voice,2.0,,
coldplay,atlas,alternative_rock pop,sp,,voice,2.0,,
coldplay,beautiful world,alternative_rock pop,sp,,voice,2.0,,
coldplay,cemeteries of london,alternative_rock pop,sp,,voice,2.0,,
coldplay,charlie brown,alternative_rock pop,sp,,voice,2.0,,
coldplay,clocks,alternative_rock pop,sp,,voice,2.0,,
coldplay,death and all his friends,alternative_rock pop,sp,,voice,2.0,,
coldplay,don't let it break your heart,alternative_rock pop,sp,,voice,2.0,,
coldplay,every teardrop is a waterfall,alternative_rock pop,sp,,voice,2.0,,
coldplay,fix you,alternative_rock pop,sp,,voice,2.0,,
coldplay,gravity,alternative_rock pop,sp,,voice,2.0,,
coldplay,ink,alternative_rock pop,sp,,voice,2.0,,
coldplay,magic,alternative_rock pop,sp,,voice,2.0,,
coldplay,midnight,alternative_rock pop,sp,,voice,2.0,,
coldplay,moving to mars,alternative_rock pop,sp,,voice,2.0,,
coldplay,o,alternative_rock pop,sp,,voice,2.0,,
coldplay,oceans,alternative_rock pop,sp,,voice,2.0,,
coldplay,politik,alternative_rock pop,sp,,voice,2.0,,
coldplay,shiver,alternative_rock pop,sp,,voice,2.0,,
coldplay,strawberry swing,alternative_rock pop,sp,,voice,2.0,,
coldplay,swallowed in the sea,alternative_rock pop,sp,,voice,2.0,,
coldplay,talk,alternative_rock pop,sp,,voice,2.0,,
coldplay,the scientist,alternative_rock pop,sp,,voice,2.0,,
coldplay,trouble,alternative_rock pop,sp,,voice,2.0,,
coldplay,true love,alternative_rock pop,sp,,voice,2.0,,
coldplay,ufo,alternative_rock pop,sp,,voice,2.0,,
coldplay,up in flames,alternative_rock pop,sp,,voice,2.0,,
coldplay,up with the birds,alternative_rock pop,sp,,voice,2.0,,
coldplay,us against the world,alternative_rock pop,sp,,voice,2.0,,
coldplay,violet hill,alternative_rock pop,sp,,voice,2.0,,
coldplay,viva_la_vida,alternative_rock pop,sp,,voice,2.0,,
coldplay,what if,alternative_rock pop,sp,,voice,2.0,,
coldplay,yellow,alternative_rock pop,sp,,voice,2.0,,
coldplay jay_z,lost,alternative_rock pop,sp,,voice,2.0,,
one_republic,all the right moves,alternative_rock pop,sp,,voice,2.0,,
one_republic,can't stop,alternative_rock pop,sp,,voice,2.0,,
one_republic,feel again,alternative_rock pop,sp,,voice,2.0,,
one_republic,good life,alternative_rock pop,sp,,voice,2.0,,
one_republic,life in color,alternative_rock pop,sp,,voice,2.0,,
one_republic,marchin on,alternative_rock pop,sp,,voice,2.0,,
one_republic,native,alternative_rock pop,sp,,voice,2.0,,
one_republic,secrets,alternative_rock pop,sp,,voice,2.0,,
a_winged_victory_for_the_sullen,requiem for the static king pt. 1,ambient,yt sp,,no_beat,2.0,,
aphex_twin,Rhubarb,ambient,yt,,,2.0,,_AWIqXzvX-U
ben_frost,Reyja,ambient,sp,,piano strings,2.0,,
ben_frost,castration,ambient,sp,,no_beat,2.0,,
ben_frost,cruel miracles,ambient,sp,,piano strings sad,2.0,,
ben_frost,hydrogen sulfide,ambient,sp,,piano strings,2.0,,
ben_frost,saccades,ambient,sp,,piano strings,2.0,,
ben_frost,simulacra i,ambient,sp,,modular no_beat,2.0,,
ben_frost,simulacra ii,ambient,sp,,piano strings,2.0,,
ben_frost,tainted love,ambient,sp,,voice,2.0,,
ben_frost,unbreakable silence,ambient,sp,,piano strings,2.0,,
ben_frost,venia,ambient,sp,,piano strings,2.0,,
ben_frost,you mean more to me than any scientific truth,ambient,sp,,piano strings no_beat,2.0,,
brian_eno,a clearing,ambient,yt sp,,no_beat,2.0,,
brian_eno,a stream with bright fish,ambient,yt sp,,piano,2.0,4IN34Iq5T9x1vN6MASxvS9,
brian_eno,against the sky,ambient,yt sp,,no_beat,2.0,50mwGp3PgKoZldhBvfy2cf,
brian_eno,an ending (ascent),ambient,sp,,no_beat,2.0,,
brian_eno,chamber lightness,ambient,yt sp,,no_beat,2.0,,
brian_eno,drift,ambient,yt sp,,no_beat,2.0,,
brian_eno,flower bells,ambient,yt sp,,no_beat,1.0,,
brian_eno,late october,ambient,yt sp,,piano,2.0,2Ef5Vgw0ShuKGoNfO6Nrof,
brian_eno,lost in the humming hair,ambient,yt sp,,piano,2.0,0Xf8nLzbt3TXW0DejZhHTy,
brian_eno,signals,ambient,yt sp,,no_beat,2.0,,
brian_eno,stars,ambient,yt sp,,no_beat,2.0,,
brian_eno,still return,ambient,yt sp,,piano,2.0,28KcS7Otucbm1uRQs8k21t,
brian_eno,the silver ball,ambient,yt sp,,piano,2.0,2FA6ZLzJ2f5ZhX1qzoGfWA,
brian_eno,their memories,ambient,yt sp,,piano,2.0,3FoozOVAViraoaiCQpjE2U,
brian_eno,under stars II,ambient,yt sp,,no_beat,2.0,,
chihei_hatakeyama,blueprint,ambient,sp,,modular,2.0,6sOV4Dt9wD0z4qm3bJ59r0,
chihei_hatakeyama,door to the cosmos,ambient,sp,,no_beat,2.0,,
chihei_hatakeyama,ferrum,ambient,sp,,no_beat,2.0,,
chihei_hatakeyama,images of broken light,ambient,sp,,no_beat,2.0,,
chihei_hatakeyama,light drizzle,ambient,sp,,no_beat,2.0,,
chihei_hatakeyama,red comet,ambient,sp,,no_beat,2.0,,
chihei_hatakeyama,red comet II,ambient,sp,,no_beat,2.0,,
chihei_hatakeyama,red comet III,ambient,sp,,no_beat,2.0,,
chihei_hatakeyama,sad ocean,ambient,sp,,no_beat,2.0,,
deru,1979 full album,ambient,yt,,,1.0,,
deru,let the silence float,ambient,yt,,,1.0,,
deru,only the circle,ambient,yt,,,1.0,,
ekin_fil,at dawn,ambient,sp,,,2.0,,
ekin_fil,away,ambient,sp,,,2.0,,
ekin_fil,butterflies,ambient,sp,,,2.0,3MQR0pFUM9BZe68jwLEeVa,
ekin_fil,his own,ambient,sp,,,2.0,,
ekin_fil,insomnia,ambient,sp,,,2.0,,
ekin_fil,maps,ambient,sp,,,2.0,,
ekin_fil,nocturnal arc,ambient,sp,,,2.0,,
ekin_fil,not me,ambient,sp,,,2.0,,
ekin_fil,on the move,ambient,sp,,,2.0,,
four_tet,tremper,ambient,yt sp,,no_beat,2.0,,
gas,gas 1,ambient,sp,,no_beat,2.0,,
gas,gas 3,ambient,sp,,no_beat,2.0,,
gas,gas 6,ambient,sp,,no_beat,2.0,,
gas,koenigsforst 3,ambient,sp,,no_beat dark,1.0,,
gas,narkopop 1,ambient,sp,,no_beat,1.0,,
gas,narkopop 3,ambient,sp,,no_beat,2.0,,
gas,narkopop 4,ambient,sp,,no_beat,1.0,,
gas,narkopop 6,ambient,sp,,no_beat,2.0,,
gas,pop 1,ambient,sp,,no_beat,2.0,,
gas,pop 2,ambient,sp,,,2.0,,
gas,pop 3,ambient,sp,,dark no_beat,1.0,,
gas,pop 5,ambient,sp,,,2.0,,
gas,rausch 1,ambient,sp,,no_beat,2.0,,
gas,rausch 4,ambient,sp,,no_beat,2.0,,
gas,zauberberg 1,ambient,sp,,no_beat,2.0,,
gas,zauberberg 7,ambient,sp,,no_beat,2.0,,
gentlemen_losers,honey bunch,ambient,yt sp,,,2.0,,
jon_gibson,cycles,ambient,sp,,modular no_beat,2.0,,
jon_gibson,melody iv part i,ambient,sp,,modular violin no_beat,2.0,,
jon_gibson,relative calm ii,ambient,sp,,piano,2.0,,
jon_hopkins,echo dissolve,ambient,sp,,piano,1.0,,
jon_hopkins,luminous beings,ambient,sp,,piano,1.0,,
jon_hopkins,recovery,ambient,sp,,piano,1.0,,
kisnou,let go,ambient,yt,,piano,1.0,,
last_days,missing photos,ambient,yt sp,,no_beat,2.0,,
sarah_davachi,a garden an orchard,ambient,sp,,modular,2.0,,
sarah_davachi,alms vert,ambient,sp,,modular no_beat,2.0,,
sarah_davachi,at hand,ambient,sp,,no_beat,2.0,,
sarah_davachi,buhrstone,ambient,sp,,,2.0,,
sarah_davachi,burgundy,ambient,sp,,modular,2.0,,
sarah_davachi,chanter,ambient,sp,,,1.0,,
sarah_davachi,feeler,ambient,sp,,no_beat,2.0,,
sarah_davachi,flowers and other voiceless things,ambient,sp,,modular no_beat,2.0,,
sarah_davachi,for organ,ambient,sp,,no_beat,2.0,,
sarah_davachi,for piano,ambient,sp,,no_beat,2.0,,
sarah_davachi,for strings,ambient,sp,,no_beat,2.0,,
sarah_davachi,for voice,ambient,sp,,no_beat,2.0,,
sarah_davachi,garlands,ambient,sp,,no_beat,2.0,,
sarah_davachi,geneva,ambient,sp,,modular no_beat,2.0,,
sarah_davachi,gentle so gentle,ambient,sp,,no_beat,2.0,,
sarah_davachi,gilded,ambient,sp,,no_beat,2.0,,
sarah_davachi,gloaming,ambient,sp,,no_beat,2.0,,
sarah_davachi,guildford,ambient,sp,,modular no_beat,2.0,,
sarah_davachi,heliotrope,ambient,sp,,modular no_beat,2.0,,
sarah_davachi,hours in the evening,ambient,sp,,no_beat,2.0,,
