artists,title,genre,src,bpm,tags,rating
Shostakovich,Sonata for Cello Piano D Minor Op. 40,classical,sp,,soft,1
Shostakovich,Waltz No. 2,classical,sp,,soft,3
mompou michelangeli,cancion 6,classical,sp,,soft piano,3
vril,omniverse,techno,yt sp,128,dark,2
Erik_Satie,Gymnopédie 1,classical,sp,,soft,2
Brulée,Ode Au Désespoir
Brulée,Animadversion
Brulée,La Complainte
Prince_of_Denmark Mind_Against,The Ghost Ran Out of Memory,techno,yt,,melodic,2
Boston_168,Phenomena,techno,yt,125,melodic,2
Kevin_De_Vries,Aratak,techno,yt,,heavy melodic,1
anna,when i am only a dream,techno,yt,128,,1
The_Exaltics,The Lost Planet,techno,yt,,acid,2
The_Exaltics,Snake Mountain,techno,yt,,acid,2
The_Exaltics,Why,techno,yt,,acid,2
Volvox,Boiler Room NYC,techno,yt,,heavy acid djset,2
schubert,fantasie in F minor D940 allegro molto moderato,classical,sp,,soft powerful piano,2
schubert,fantasie in F minor D940 largo,classical,sp,,powerful piano,2
schubert,fantasie in F minor D940 allegro vivace,sp,,powerful piano,2
Horos Nisek,Docking,techno,yt,,acid,2
TOKiMONSTA Selah_Sue Ouri,I Wish I Could,electronica,yt,,,2
Hunter/Game,Changing Weather,techno,yt,124,melodic,2
Charlotte_de_Witte,Varpulis,techno,yt,125,melodic,3
Charlotte_de_Witte,Remember,techno,yt,130,acid,2
kangding_ray,rubi,techno,yt,131,dark,3
Luigi_Tozzi Antonio_Ruscito,Subterrel + Ex Funzione,techno,yt,126,melodic,3
Øostil,Quantic,techno,yt,126,melodic,2
fideles,lotus,techno,yt,123,melodic,1
mind_against,portal,techno,yt,125,melodic,1
Recondite Henrik_Schwarz,Motion,techno,yt,122,melodic,2
agents_of_time,paradigm,techno,yt,125,melodic,2
tale_of_us,nova,techno,yt,123,melodic,2
Trym,Bellini,techno,sc,,heavy,2
YYYY,Carry This Blood,techno,yt,130,melodic heavy,2
ovend,nuits fauves,techno,yt,124,melodic,2
mathame,opal cithee,techno,yt,124,melodic,2
Mathame,Prophecy Amelie Lens Remix,techno,yt sp,128,dark melodic heavy,2
mathame,uawok tong,techno,yt,127,melodic dark,2
mathame,alkahest,techno,yt,124,melodic,3
